epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4995,1.31988,5.49375,0.94934,0.28204,0.127,0.02891,0.02054,1.23199,3.87724,0.88924,5.92938e-05,5.92938e-05,5.92938e-05
2,50.415,1.29314,4.17451,0.89543,0.49566,0.1484,0.10704,0.07426,1.17976,2.69738,0.88624,0.000117783,0.000117783,0.000117783
3,71.5065,1.2059,3.18811,0.89464,0.59187,0.22144,0.23617,0.16568,1.08544,1.96309,0.87343,0.00017509,0.00017509,0.00017509
4,92.5584,1.12508,2.57371,0.88659,0.61658,0.30222,0.28679,0.2037,1.02015,1.64644,0.86576,0.000173684,0.000173684,0.000173684
5,113.628,1.0612,2.20362,0.87354,0.65672,0.35142,0.37669,0.2733,0.9783,1.37397,0.86285,0.000171912,0.000171912,0.000171912
6,134.519,1.05214,1.96621,0.87319,0.74455,0.37985,0.44848,0.32468,0.93623,1.19167,0.8581,0.000170139,0.000170139,0.000170139
7,155.28,1.03046,1.75569,0.87409,0.78335,0.44165,0.52631,0.37899,0.91717,1.03365,0.85386,0.000168367,0.000168367,0.000168367
8,175.808,1.00494,1.59553,0.8674,0.73383,0.52704,0.59159,0.42795,0.90405,0.95148,0.85172,0.000166595,0.000166595,0.000166595
9,196.673,0.98165,1.48689,0.86525,0.76818,0.58522,0.65639,0.47116,0.90115,0.87041,0.85303,0.000164823,0.000164823,0.000164823
10,217.766,0.97111,1.36048,0.86272,0.78348,0.64328,0.74476,0.53349,0.89445,0.8096,0.85099,0.000163051,0.000163051,0.000163051
11,238.526,0.95356,1.26151,0.85584,0.86648,0.65199,0.77016,0.55892,0.86964,0.75421,0.84787,0.000161279,0.000161279,0.000161279
12,259.512,0.9504,1.21298,0.85697,0.80691,0.70136,0.78877,0.57052,0.8882,0.7434,0.85035,0.000159507,0.000159507,0.000159507
13,280.393,0.9263,1.14354,0.85265,0.85598,0.69061,0.81042,0.59408,0.85543,0.70143,0.84917,0.000157735,0.000157735,0.000157735
14,301.343,0.92283,1.09485,0.85514,0.87047,0.72541,0.85964,0.6199,0.86409,0.6858,0.84633,0.000155963,0.000155963,0.000155963
15,322.299,0.90448,1.03257,0.84828,0.87643,0.75044,0.8672,0.63876,0.85111,0.65716,0.84849,0.000154191,0.000154191,0.000154191
16,342.996,0.90578,1.00836,0.85114,0.88505,0.76916,0.87963,0.64169,0.84512,0.66056,0.84365,0.000152418,0.000152418,0.000152418
17,363.789,0.89278,0.96973,0.85364,0.90614,0.77206,0.90905,0.66247,0.84717,0.6173,0.84449,0.000150646,0.000150646,0.000150646
18,384.41,0.87491,0.92419,0.84588,0.83163,0.84022,0.91006,0.67052,0.82021,0.60146,0.83884,0.000148874,0.000148874,0.000148874
19,405.208,0.88432,0.89825,0.84886,0.86432,0.83858,0.9175,0.67416,0.81896,0.58856,0.84,0.000147102,0.000147102,0.000147102
20,426.033,0.87809,0.87832,0.85021,0.86001,0.88062,0.93865,0.68567,0.82008,0.58095,0.83954,0.00014533,0.00014533,0.00014533
21,446.863,0.85975,0.84479,0.84619,0.86353,0.86918,0.93829,0.69975,0.81211,0.57239,0.8367,0.000143558,0.000143558,0.000143558
22,467.779,0.86587,0.83323,0.84575,0.89868,0.87121,0.9417,0.69647,0.80753,0.56948,0.83801,0.000141786,0.000141786,0.000141786
23,488.661,0.85025,0.79595,0.84532,0.85964,0.89408,0.937,0.69518,0.80195,0.55434,0.83502,0.000140014,0.000140014,0.000140014
24,509.451,0.84168,0.79098,0.84111,0.87515,0.89789,0.94073,0.70095,0.80877,0.5524,0.83703,0.000138242,0.000138242,0.000138242
25,530.314,0.84339,0.76591,0.84202,0.90419,0.86797,0.93601,0.68942,0.80657,0.55054,0.836,0.00013647,0.00013647,0.00013647
26,551.105,0.85067,0.75222,0.84256,0.90001,0.88615,0.94232,0.69642,0.80655,0.53678,0.83799,0.000134697,0.000134697,0.000134697
27,572.093,0.8459,0.7503,0.84183,0.91022,0.89148,0.95538,0.70811,0.80663,0.54075,0.83679,0.000132925,0.000132925,0.000132925
28,593.152,0.82863,0.72334,0.84271,0.9177,0.897,0.95454,0.71099,0.79919,0.52559,0.83795,0.000131153,0.000131153,0.000131153
