epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,835.812,0.78359,0.58467,0.82728,0.90465,0.92932,0.97257,0.73731,0.76559,0.46575,0.82525,0.000106344,0.000106344,0.000106344
43,855.563,0.7789,0.5763,0.82519,0.93599,0.9306,0.97907,0.74534,0.75616,0.45212,0.82621,0.000104572,0.000104572,0.000104572
44,875.378,0.77425,0.56309,0.82439,0.93304,0.93325,0.979,0.74388,0.7592,0.45772,0.82462,0.0001028,0.0001028,0.0001028
45,895.07,0.77008,0.56014,0.82485,0.94057,0.92337,0.97558,0.74253,0.76474,0.45876,0.8244,0.000101028,0.000101028,0.000101028
46,914.712,0.7755,0.55679,0.8255,0.93462,0.92778,0.978,0.74163,0.76228,0.45499,0.8256,9.92555e-05,9.92555e-05,9.92555e-05
47,934.349,0.7775,0.55268,0.82856,0.91655,0.93774,0.97758,0.74469,0.75189,0.45265,0.82278,9.74834e-05,9.74834e-05,9.74834e-05
48,954.026,0.77336,0.55262,0.82484,0.94483,0.92423,0.97771,0.74136,0.75383,0.44932,0.82388,9.57113e-05,9.57113e-05,9.57113e-05
49,973.707,0.75867,0.54774,0.82326,0.93693,0.92414,0.97743,0.74466,0.75767,0.45546,0.82304,9.39392e-05,9.39392e-05,9.39392e-05
50,993.475,0.76559,0.54381,0.82452,0.9376,0.92291,0.97498,0.74402,0.75827,0.44534,0.82381,9.21671e-05,9.21671e-05,9.21671e-05
51,1013.09,0.76159,0.53296,0.82338,0.93455,0.92427,0.97834,0.74763,0.74208,0.4443,0.82044,9.0395e-05,9.0395e-05,9.0395e-05
52,1032.74,0.75781,0.52874,0.82022,0.93647,0.92809,0.9734,0.74215,0.75415,0.44889,0.82331,8.86229e-05,8.86229e-05,8.86229e-05
53,1052.39,0.75157,0.53217,0.82492,0.92606,0.93965,0.97653,0.74167,0.75334,0.44873,0.82431,8.68508e-05,8.68508e-05,8.68508e-05
54,1072.19,0.75629,0.52458,0.82472,0.94573,0.93352,0.97864,0.74675,0.7436,0.4399,0.82251,8.50787e-05,8.50787e-05,8.50787e-05
55,1091.84,0.75652,0.52335,0.81846,0.93096,0.9352,0.97768,0.74448,0.74197,0.4396,0.82217,8.33066e-05,8.33066e-05,8.33066e-05
56,1111.52,0.74503,0.51845,0.82228,0.92886,0.92851,0.97465,0.74488,0.74272,0.44566,0.82247,8.15345e-05,8.15345e-05,8.15345e-05
57,1131.18,0.75428,0.52512,0.81959,0.93519,0.93338,0.97543,0.74315,0.74681,0.4459,0.82134,7.97624e-05,7.97624e-05,7.97624e-05
58,1150.88,0.74374,0.51061,0.82303,0.91541,0.96704,0.98135,0.75296,0.74905,0.43467,0.82185,7.79903e-05,7.79903e-05,7.79903e-05
59,1170.57,0.75169,0.50847,0.82227,0.9331,0.9601,0.97726,0.74833,0.73835,0.43345,0.82029,7.62182e-05,7.62182e-05,7.62182e-05
60,1190.33,0.75408,0.51138,0.82368,0.93949,0.95769,0.97752,0.742,0.74622,0.43728,0.82172,7.44461e-05,7.44461e-05,7.44461e-05
61,1210.07,0.74067,0.50663,0.81658,0.92353,0.96001,0.9749,0.73764,0.74931,0.4433,0.82297,7.2674e-05,7.2674e-05,7.2674e-05
62,1229.88,0.7459,0.50794,0.82218,0.91573,0.96115,0.97552,0.74661,0.73911,0.43532,0.82146,7.09019e-05,7.09019e-05,7.09019e-05
63,1249.63,0.73305,0.49747,0.81706,0.93583,0.96007,0.97697,0.75007,0.73756,0.43049,0.82149,6.91298e-05,6.91298e-05,6.91298e-05
64,1269.38,0.74373,0.50297,0.81805,0.89991,0.96565,0.97453,0.74361,0.7416,0.42584,0.8216,6.73577e-05,6.73577e-05,6.73577e-05
65,1289.01,0.72967,0.49489,0.82137,0.94972,0.93201,0.97855,0.75119,0.73643,0.42555,0.82135,6.55856e-05,6.55856e-05,6.55856e-05
66,1308.68,0.73036,0.48932,0.81816,0.91887,0.96864,0.97741,0.75175,0.73336,0.42768,0.82098,6.38135e-05,6.38135e-05,6.38135e-05
67,1328.49,0.74395,0.49262,0.8194,0.89639,0.97867,0.98211,0.74632,0.73404,0.4256,0.82152,6.20414e-05,6.20414e-05,6.20414e-05
68,1348.12,0.73433,0.48637,0.82158,0.90022,0.97649,0.98113,0.74758,0.73341,0.42218,0.8205,6.02693e-05,6.02693e-05,6.02693e-05
69,1367.72,0.72327,0.47758,0.819,0.94968,0.93837,0.9786,0.75112,0.73355,0.42117,0.82143,5.84972e-05,5.84972e-05,5.84972e-05
70,1387.45,0.72705,0.48334,0.81648,0.93209,0.97027,0.98238,0.74867,0.7406,0.41996,0.82197,5.67251e-05,5.67251e-05,5.67251e-05
71,1407.19,0.72541,0.47685,0.81732,0.90179,0.98167,0.98189,0.75436,0.73382,0.4174,0.82126,5.4953e-05,5.4953e-05,5.4953e-05
72,1426.81,0.71898,0.47059,0.81503,0.9567,0.93084,0.98435,0.75394,0.73811,0.41882,0.82116,5.31809e-05,5.31809e-05,5.31809e-05
73,1446.71,0.72055,0.47467,0.81421,0.93473,0.96973,0.9828,0.75087,0.73329,0.4171,0.82071,5.14088e-05,5.14088e-05,5.14088e-05
74,1466.39,0.71616,0.46795,0.81554,0.92081,0.96768,0.97782,0.75064,0.73337,0.41791,0.82137,4.96367e-05,4.96367e-05,4.96367e-05
75,1485.87,0.73122,0.47185,0.81575,0.93224,0.96792,0.98154,0.74886,0.7281,0.41607,0.82019,4.78646e-05,4.78646e-05,4.78646e-05
76,1505.49,0.70695,0.46556,0.8101,0.94596,0.96191,0.9819,0.75377,0.7249,0.41344,0.82021,4.60925e-05,4.60925e-05,4.60925e-05
77,1525.22,0.71678,0.46952,0.81387,0.9437,0.957,0.97869,0.75319,0.73027,0.41521,0.82129,4.43204e-05,4.43204e-05,4.43204e-05
78,1544.92,0.70754,0.46596,0.81774,0.93041,0.96839,0.97987,0.75692,0.72996,0.41503,0.82079,4.25483e-05,4.25483e-05,4.25483e-05
79,1564.7,0.71315,0.46673,0.81344,0.91948,0.96993,0.98075,0.75048,0.72995,0.41174,0.82104,4.07762e-05,4.07762e-05,4.07762e-05
80,1584.41,0.7022,0.45706,0.81322,0.92498,0.97413,0.9828,0.75113,0.73374,0.41296,0.8207,3.90041e-05,3.90041e-05,3.90041e-05
81,1603.94,0.70933,0.4574,0.81398,0.92453,0.97621,0.98408,0.75555,0.72772,0.41337,0.82053,3.7232e-05,3.7232e-05,3.7232e-05
82,1623.56,0.69895,0.45494,0.80948,0.92988,0.97406,0.98402,0.75902,0.72273,0.40957,0.82032,3.54599e-05,3.54599e-05,3.54599e-05
83,1643.2,0.70998,0.45916,0.81619,0.90285,0.97919,0.98333,0.75432,0.72998,0.41524,0.82143,3.36878e-05,3.36878e-05,3.36878e-05
84,1662.92,0.70399,0.45392,0.81643,0.9524,0.93753,0.98013,0.7535,0.72617,0.40702,0.82092,3.19157e-05,3.19157e-05,3.19157e-05
85,1682.6,0.70151,0.4557,0.81372,0.90454,0.98104,0.98351,0.75624,0.72861,0.41036,0.82186,3.01436e-05,3.01436e-05,3.01436e-05
86,1702.34,0.70266,0.45278,0.81199,0.91292,0.97753,0.98321,0.7556,0.72614,0.40641,0.82114,2.83715e-05,2.83715e-05,2.83715e-05
87,1721.75,0.69209,0.44792,0.81418,0.90289,0.97716,0.98031,0.75535,0.72582,0.40594,0.82072,2.65994e-05,2.65994e-05,2.65994e-05
88,1741.44,0.70002,0.44422,0.81027,0.93108,0.9711,0.9808,0.75716,0.72358,0.40168,0.82057,2.48273e-05,2.48273e-05,2.48273e-05
89,1760.98,0.69877,0.44807,0.81335,0.91619,0.97628,0.981,0.75399,0.72549,0.40478,0.82012,2.30552e-05,2.30552e-05,2.30552e-05
90,1780.64,0.69779,0.44959,0.81528,0.89854,0.98286,0.9839,0.757,0.72635,0.4036,0.82104,2.12831e-05,2.12831e-05,2.12831e-05
91,1816.72,0.69878,0.45828,0.81423,0.93307,0.96046,0.9794,0.74816,0.73635,0.42124,0.82343,1.9511e-05,1.9511e-05,1.9511e-05
92,1835.92,0.68441,0.44129,0.81137,0.94713,0.95349,0.9808,0.74865,0.73659,0.4158,0.82352,1.77389e-05,1.77389e-05,1.77389e-05
93,1855.25,0.67282,0.43384,0.81239,0.94951,0.94798,0.98071,0.75207,0.7328,0.41545,0.8226,1.59668e-05,1.59668e-05,1.59668e-05
94,1874.52,0.67498,0.43502,0.81053,0.95224,0.95235,0.97961,0.74932,0.73062,0.41362,0.82255,1.41947e-05,1.41947e-05,1.41947e-05
95,1893.97,0.66977,0.43368,0.80929,0.94239,0.96016,0.98091,0.74881,0.73001,0.41123,0.82185,1.24226e-05,1.24226e-05,1.24226e-05
96,1913.29,0.66477,0.42487,0.80921,0.94967,0.9488,0.98136,0.75105,0.73346,0.41192,0.82266,1.06505e-05,1.06505e-05,1.06505e-05
97,1932.68,0.66908,0.42597,0.81295,0.94775,0.95288,0.98173,0.75185,0.73284,0.41093,0.8224,8.8784e-06,8.8784e-06,8.8784e-06
98,1952.29,0.66541,0.4278,0.80873,0.94824,0.95453,0.98058,0.74987,0.72866,0.41,0.82194,7.1063e-06,7.1063e-06,7.1063e-06
99,1971.68,0.66137,0.42503,0.8099,0.94792,0.95587,0.98116,0.75091,0.72863,0.4105,0.82158,5.3342e-06,5.3342e-06,5.3342e-06
100,1990.98,0.65605,0.41905,0.80602,0.94936,0.95975,0.98215,0.75147,0.72993,0.4079,0.82134,3.5621e-06,3.5621e-06,3.5621e-06
