epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6887,1.3639,5.45833,0.97005,0.61508,0.06029,0.0379,0.02789,1.25773,3.39127,0.90288,5.92938e-05,5.92938e-05,5.92938e-05
2,43.0527,1.31652,3.87068,0.9073,0.53396,0.16118,0.11772,0.0838,1.1439,2.3644,0.88424,0.000117783,0.000117783,0.000117783
3,62.8844,1.22099,2.99571,0.90037,0.59686,0.23067,0.22953,0.16085,1.06731,1.87233,0.87519,0.00017509,0.00017509,0.00017509
4,82.4907,1.14358,2.47097,0.8895,0.57152,0.31592,0.32601,0.22284,1.04222,1.56072,0.86797,0.000173684,0.000173684,0.000173684
5,102.163,1.09073,2.17019,0.87883,0.7442,0.35209,0.41724,0.29492,0.98351,1.3187,0.86213,0.000171912,0.000171912,0.000171912
6,121.509,1.07247,1.9336,0.87222,0.66779,0.4151,0.47595,0.33391,0.96674,1.24167,0.85827,0.000170139,0.000170139,0.000170139
7,140.972,1.053,1.7319,0.87108,0.65204,0.49882,0.5765,0.41091,0.9281,1.03381,0.85723,0.000168367,0.000168367,0.000168367
8,160.493,1.03225,1.59196,0.86751,0.72048,0.57469,0.64252,0.4563,0.92386,0.96195,0.85732,0.000166595,0.000166595,0.000166595
9,180.02,1.01346,1.48392,0.86891,0.68351,0.633,0.69123,0.49184,0.9157,0.87622,0.85747,0.000164823,0.000164823,0.000164823
10,199.553,0.99696,1.36556,0.86351,0.74727,0.6587,0.76673,0.53811,0.91123,0.86106,0.85625,0.000163051,0.000163051,0.000163051
11,219.243,0.98415,1.283,0.85846,0.81004,0.66535,0.76356,0.5472,0.89562,0.78692,0.85154,0.000161279,0.000161279,0.000161279
12,238.922,0.96687,1.24443,0.85747,0.79212,0.73608,0.82287,0.57854,0.8746,0.73814,0.84851,0.000159507,0.000159507,0.000159507
13,258.564,0.94986,1.18844,0.85302,0.84509,0.71442,0.82094,0.59354,0.86144,0.71257,0.84449,0.000157735,0.000157735,0.000157735
14,278.087,0.94436,1.12795,0.85217,0.82765,0.77034,0.8614,0.60865,0.87206,0.69446,0.8466,0.000155963,0.000155963,0.000155963
15,297.949,0.93558,1.08588,0.8506,0.85676,0.76813,0.87401,0.624,0.86445,0.68704,0.84727,0.000154191,0.000154191,0.000154191
16,317.57,0.93212,1.06067,0.85122,0.88398,0.77967,0.87622,0.62736,0.85495,0.6521,0.84744,0.000152418,0.000152418,0.000152418
17,337.182,0.92372,1.029,0.85527,0.83714,0.8139,0.90284,0.64992,0.8495,0.64615,0.8446,0.000150646,0.000150646,0.000150646
18,356.914,0.91011,0.97903,0.84581,0.85584,0.84079,0.90727,0.64792,0.8491,0.63709,0.84391,0.000148874,0.000148874,0.000148874
19,376.647,0.90804,0.94844,0.84739,0.89216,0.82172,0.90774,0.65419,0.83762,0.61944,0.84189,0.000147102,0.000147102,0.000147102
