epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1185.54,0.75188,0.55774,0.83839,0.9493,0.94356,0.98223,0.76099,0.75522,0.44778,0.84392,0.000106344,0.000106344,0.000106344
43,1213.56,0.73827,0.55117,0.83928,0.94761,0.93965,0.98206,0.7621,0.74917,0.44641,0.84576,0.000104572,0.000104572,0.000104572
44,1241.66,0.73925,0.54145,0.83632,0.90438,0.98875,0.98854,0.7629,0.74903,0.44129,0.84458,0.0001028,0.0001028,0.0001028
45,1269.81,0.7331,0.54147,0.83744,0.96168,0.94031,0.98441,0.75985,0.74852,0.44273,0.84448,0.000101028,0.000101028,0.000101028
46,1297.88,0.72699,0.53762,0.83512,0.9489,0.94498,0.9827,0.76705,0.74509,0.44142,0.84339,9.92555e-05,9.92555e-05,9.92555e-05
47,1326.03,0.73417,0.54112,0.836,0.94961,0.94972,0.98057,0.75908,0.75007,0.44565,0.84711,9.74834e-05,9.74834e-05,9.74834e-05
48,1354.19,0.72571,0.5257,0.83189,0.89377,0.98796,0.98372,0.76839,0.74144,0.43744,0.84553,9.57113e-05,9.57113e-05,9.57113e-05
49,1382.37,0.72488,0.52316,0.82995,0.95873,0.93927,0.98268,0.75962,0.75379,0.44131,0.84647,9.39392e-05,9.39392e-05,9.39392e-05
50,1410.53,0.72071,0.51115,0.83494,0.95878,0.93775,0.98281,0.76709,0.74758,0.43587,0.84609,9.21671e-05,9.21671e-05,9.21671e-05
51,1438.68,0.72513,0.51545,0.83552,0.96015,0.94072,0.9847,0.77039,0.7352,0.42627,0.84368,9.0395e-05,9.0395e-05,9.0395e-05
52,1466.71,0.72162,0.50789,0.83102,0.9081,0.9796,0.98268,0.77251,0.74305,0.42854,0.84467,8.86229e-05,8.86229e-05,8.86229e-05
53,1494.92,0.71341,0.50545,0.83132,0.95906,0.94224,0.98319,0.7636,0.74734,0.43328,0.84556,8.68508e-05,8.68508e-05,8.68508e-05
54,1523.05,0.70518,0.50151,0.83074,0.90413,0.98165,0.98233,0.76555,0.74221,0.42653,0.84645,8.50787e-05,8.50787e-05,8.50787e-05
55,1551.11,0.71561,0.49844,0.83257,0.95749,0.93363,0.98113,0.76896,0.74106,0.42906,0.84333,8.33066e-05,8.33066e-05,8.33066e-05
56,1579.23,0.70775,0.49418,0.82737,0.93918,0.96962,0.98345,0.77269,0.7335,0.41935,0.84264,8.15345e-05,8.15345e-05,8.15345e-05
57,1607.28,0.72274,0.49916,0.83302,0.9465,0.97241,0.987,0.77286,0.73825,0.4227,0.84387,7.97624e-05,7.97624e-05,7.97624e-05
58,1635.4,0.70932,0.4905,0.83033,0.92416,0.98026,0.98696,0.77189,0.73935,0.42214,0.84568,7.79903e-05,7.79903e-05,7.79903e-05
59,1663.48,0.71418,0.49207,0.83441,0.93378,0.97543,0.98342,0.77375,0.74022,0.42052,0.84398,7.62182e-05,7.62182e-05,7.62182e-05
60,1691.53,0.70842,0.48641,0.82943,0.95813,0.95814,0.98397,0.76604,0.73719,0.41799,0.84546,7.44461e-05,7.44461e-05,7.44461e-05
61,1719.53,0.70681,0.48647,0.83087,0.96058,0.9615,0.98738,0.77209,0.73633,0.4179,0.84465,7.2674e-05,7.2674e-05,7.2674e-05
62,1747.45,0.69817,0.47635,0.83015,0.95191,0.96418,0.98593,0.77138,0.73566,0.42105,0.84357,7.09019e-05,7.09019e-05,7.09019e-05
63,1775.63,0.6961,0.47641,0.82636,0.94864,0.96583,0.983,0.77234,0.73247,0.41482,0.84299,6.91298e-05,6.91298e-05,6.91298e-05
64,1803.8,0.70638,0.47649,0.82968,0.95764,0.95602,0.98579,0.77045,0.73617,0.41352,0.84346,6.73577e-05,6.73577e-05,6.73577e-05
65,1831.92,0.69369,0.47324,0.82849,0.95274,0.96606,0.9881,0.76754,0.73611,0.41558,0.84346,6.55856e-05,6.55856e-05,6.55856e-05
66,1859.95,0.68843,0.47274,0.82869,0.95415,0.9688,0.98864,0.77831,0.73558,0.41063,0.84479,6.38135e-05,6.38135e-05,6.38135e-05
67,1888.12,0.6946,0.46798,0.8295,0.96223,0.96749,0.98845,0.77528,0.7401,0.41201,0.84437,6.20414e-05,6.20414e-05,6.20414e-05
68,1916.27,0.69311,0.46878,0.82339,0.95032,0.96361,0.98521,0.77151,0.73429,0.4143,0.84314,6.02693e-05,6.02693e-05,6.02693e-05
69,1944.42,0.68868,0.46495,0.82716,0.94523,0.972,0.98639,0.77322,0.73602,0.41036,0.84186,5.84972e-05,5.84972e-05,5.84972e-05
70,1972.53,0.69286,0.46386,0.82763,0.9608,0.9672,0.98721,0.76979,0.73541,0.4086,0.84262,5.67251e-05,5.67251e-05,5.67251e-05
71,2000.58,0.6793,0.45246,0.82738,0.95186,0.96388,0.98561,0.77815,0.73188,0.40341,0.84044,5.4953e-05,5.4953e-05,5.4953e-05
72,2028.74,0.67897,0.45561,0.82423,0.94352,0.97553,0.983,0.77253,0.73265,0.40462,0.8421,5.31809e-05,5.31809e-05,5.31809e-05
73,2056.89,0.6781,0.45181,0.82325,0.96028,0.96943,0.98846,0.77198,0.7324,0.4028,0.84263,5.14088e-05,5.14088e-05,5.14088e-05
74,2085,0.67595,0.45319,0.82645,0.958,0.96648,0.98803,0.77447,0.73137,0.40264,0.8415,4.96367e-05,4.96367e-05,4.96367e-05
75,2113.17,0.68629,0.45202,0.82533,0.9524,0.95685,0.98362,0.77011,0.7315,0.40429,0.8411,4.78646e-05,4.78646e-05,4.78646e-05
76,2141.3,0.67709,0.44026,0.82546,0.95745,0.96427,0.98745,0.77021,0.73361,0.40294,0.84254,4.60925e-05,4.60925e-05,4.60925e-05
77,2169.52,0.67316,0.44612,0.82211,0.95334,0.96626,0.98674,0.77182,0.72777,0.39735,0.84058,4.43204e-05,4.43204e-05,4.43204e-05
78,2197.82,0.67778,0.44407,0.82249,0.94729,0.96426,0.98181,0.77512,0.72655,0.39591,0.8407,4.25483e-05,4.25483e-05,4.25483e-05
79,2225.85,0.67185,0.44494,0.82539,0.95271,0.9688,0.98521,0.77146,0.72814,0.39841,0.84187,4.07762e-05,4.07762e-05,4.07762e-05
80,2253.95,0.67166,0.44114,0.82394,0.96112,0.9607,0.98689,0.77563,0.72828,0.39769,0.84099,3.90041e-05,3.90041e-05,3.90041e-05
81,2282.14,0.66989,0.43509,0.82318,0.96561,0.95582,0.98705,0.77511,0.72739,0.39451,0.84173,3.7232e-05,3.7232e-05,3.7232e-05
82,2310.32,0.67169,0.438,0.82048,0.9608,0.95808,0.98694,0.77482,0.72959,0.39471,0.8415,3.54599e-05,3.54599e-05,3.54599e-05
83,2338.45,0.66609,0.43587,0.82447,0.95989,0.95398,0.98681,0.77538,0.72438,0.39675,0.84136,3.36878e-05,3.36878e-05,3.36878e-05
84,2366.54,0.67019,0.43427,0.82216,0.95348,0.96516,0.98649,0.77276,0.72616,0.39366,0.84053,3.19157e-05,3.19157e-05,3.19157e-05
85,2394.65,0.6625,0.43555,0.82321,0.95612,0.96741,0.98682,0.77458,0.72699,0.39256,0.84149,3.01436e-05,3.01436e-05,3.01436e-05
86,2422.74,0.66608,0.43396,0.82527,0.95544,0.96643,0.98675,0.77445,0.72593,0.3912,0.84178,2.83715e-05,2.83715e-05,2.83715e-05
87,2450.78,0.66019,0.42946,0.8199,0.95806,0.96068,0.98607,0.77341,0.72386,0.39253,0.84176,2.65994e-05,2.65994e-05,2.65994e-05
88,2478.91,0.66003,0.42242,0.82108,0.9602,0.95756,0.98538,0.77552,0.72562,0.3916,0.84221,2.48273e-05,2.48273e-05,2.48273e-05
89,2506.97,0.66106,0.42818,0.8217,0.95848,0.95563,0.98518,0.77429,0.72674,0.39152,0.84183,2.30552e-05,2.30552e-05,2.30552e-05
90,2535.21,0.65625,0.42421,0.8224,0.95611,0.96004,0.98479,0.77346,0.72252,0.39057,0.84169,2.12831e-05,2.12831e-05,2.12831e-05
91,2570.48,0.66308,0.43786,0.82315,0.9516,0.96094,0.97815,0.76528,0.74168,0.40529,0.84502,1.9511e-05,1.9511e-05,1.9511e-05
92,2598.1,0.65144,0.42361,0.82074,0.95386,0.96191,0.98139,0.77134,0.73712,0.40406,0.84365,1.77389e-05,1.77389e-05,1.77389e-05
93,2625.62,0.64671,0.42015,0.82264,0.94791,0.97268,0.98171,0.77135,0.73414,0.39881,0.8433,1.59668e-05,1.59668e-05,1.59668e-05
94,2653.1,0.64328,0.41785,0.81847,0.95258,0.9681,0.983,0.77163,0.73237,0.3978,0.84239,1.41947e-05,1.41947e-05,1.41947e-05
95,2680.69,0.64375,0.41683,0.82036,0.95579,0.97156,0.98474,0.77582,0.73134,0.39727,0.84262,1.24226e-05,1.24226e-05,1.24226e-05
96,2708.28,0.63927,0.41066,0.8178,0.96255,0.96663,0.98566,0.77442,0.73147,0.3958,0.84249,1.06505e-05,1.06505e-05,1.06505e-05
