epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0426,1.33969,5.93092,0.9434,0.65735,0.06118,0.04365,0.03007,1.30073,3.38174,0.87935,5.92938e-05,5.92938e-05,5.92938e-05
2,42.0099,1.2589,4.31698,0.89254,0.58701,0.15189,0.12541,0.08738,1.17297,2.34241,0.87481,0.000117783,0.000117783,0.000117783
3,61.556,1.17215,3.35436,0.88667,0.55658,0.26059,0.2405,0.16891,1.07721,1.79102,0.86888,0.00017509,0.00017509,0.00017509
4,80.9536,1.08541,2.72544,0.8773,0.60667,0.29307,0.32509,0.22605,1.01678,1.50297,0.86432,0.000173684,0.000173684,0.000173684
5,100.403,1.03774,2.28599,0.87011,0.5606,0.42927,0.43797,0.30577,0.96904,1.25438,0.86006,0.000171912,0.000171912,0.000171912
6,119.647,1.01673,2.02024,0.86343,0.66395,0.45869,0.50515,0.35566,0.96512,1.1649,0.85782,0.000170139,0.000170139,0.000170139
7,139.14,0.97364,1.7943,0.86043,0.72025,0.52445,0.59464,0.41623,0.93459,1.0414,0.85467,0.000168367,0.000168367,0.000168367
8,158.702,0.9626,1.62944,0.86474,0.71548,0.58382,0.64002,0.45118,0.90405,0.95605,0.84753,0.000166595,0.000166595,0.000166595
9,178.346,0.93745,1.50559,0.85557,0.76432,0.60305,0.71282,0.49776,0.90577,0.85108,0.85018,0.000164823,0.000164823,0.000164823
10,197.931,0.93293,1.37481,0.85471,0.75926,0.66922,0.7584,0.53514,0.88437,0.78769,0.84477,0.000163051,0.000163051,0.000163051
11,217.231,0.92848,1.30543,0.85446,0.78335,0.71465,0.79302,0.56237,0.88883,0.765,0.84304,0.000161279,0.000161279,0.000161279
12,236.675,0.9084,1.19204,0.85523,0.83048,0.74107,0.82635,0.57952,0.87719,0.7143,0.84244,0.000159507,0.000159507,0.000159507
13,256.123,0.88728,1.12535,0.84938,0.81647,0.76953,0.84261,0.59744,0.85472,0.69381,0.84003,0.000157735,0.000157735,0.000157735
14,275.723,0.88425,1.07379,0.84507,0.82494,0.78873,0.86404,0.61777,0.84955,0.6743,0.83819,0.000155963,0.000155963,0.000155963
15,294.975,0.86996,1.01466,0.84541,0.89219,0.77719,0.87429,0.61868,0.8626,0.63899,0.83808,0.000154191,0.000154191,0.000154191
16,314.48,0.87057,0.99286,0.84394,0.85282,0.82437,0.8729,0.62577,0.85489,0.62619,0.83718,0.000152418,0.000152418,0.000152418
17,333.73,0.8646,0.9394,0.84239,0.87595,0.79027,0.87891,0.63442,0.84909,0.62011,0.83742,0.000150646,0.000150646,0.000150646
18,353.129,0.85778,0.90902,0.84273,0.8179,0.82011,0.8802,0.63454,0.84062,0.60506,0.83901,0.000148874,0.000148874,0.000148874
19,372.553,0.85383,0.88011,0.84436,0.87811,0.83548,0.89974,0.64066,0.82585,0.5976,0.83416,0.000147102,0.000147102,0.000147102
20,391.944,0.84522,0.84426,0.83856,0.86504,0.84594,0.9182,0.6616,0.82519,0.57476,0.83034,0.00014533,0.00014533,0.00014533
21,411.294,0.8337,0.82635,0.83736,0.89249,0.85049,0.92196,0.6639,0.81279,0.57476,0.833,0.000143558,0.000143558,0.000143558
22,430.502,0.83649,0.80637,0.83839,0.89692,0.84522,0.92572,0.66452,0.82213,0.55797,0.83313,0.000141786,0.000141786,0.000141786
23,449.99,0.83288,0.78571,0.83453,0.8945,0.86702,0.93107,0.67769,0.80159,0.55184,0.83037,0.000140014,0.000140014,0.000140014
24,469.337,0.82164,0.76031,0.83754,0.9181,0.84381,0.93278,0.67903,0.8026,0.5412,0.82941,0.000138242,0.000138242,0.000138242
25,488.798,0.81861,0.74218,0.83358,0.87781,0.87318,0.9303,0.68541,0.79165,0.54141,0.83019,0.00013647,0.00013647,0.00013647
26,508.167,0.81709,0.72747,0.83011,0.89766,0.88198,0.93694,0.68546,0.79133,0.53369,0.82713,0.000134697,0.000134697,0.000134697
27,527.546,0.80741,0.70789,0.83409,0.9079,0.87151,0.94991,0.69905,0.79188,0.53663,0.82973,0.000132925,0.000132925,0.000132925
28,546.94,0.79996,0.7046,0.83493,0.91994,0.88061,0.96023,0.71109,0.78541,0.51938,0.82653,0.000131153,0.000131153,0.000131153
29,566.396,0.79947,0.6878,0.82816,0.88931,0.91297,0.9376,0.69064,0.79601,0.52252,0.83004,0.000129381,0.000129381,0.000129381
30,585.887,0.79515,0.66916,0.83419,0.92719,0.89518,0.95033,0.69273,0.79485,0.51969,0.83044,0.000127609,0.000127609,0.000127609
31,605.215,0.79408,0.6535,0.83742,0.93001,0.89924,0.96875,0.7164,0.78464,0.51015,0.82724,0.000125837,0.000125837,0.000125837
32,624.624,0.79038,0.64647,0.82974,0.92541,0.88226,0.96603,0.7176,0.7897,0.52226,0.82812,0.000124065,0.000124065,0.000124065
33,643.965,0.78009,0.63424,0.8272,0.91329,0.88434,0.96786,0.72695,0.77376,0.50908,0.828,0.000122293,0.000122293,0.000122293
34,663.398,0.78227,0.63479,0.82591,0.92137,0.90904,0.97021,0.72446,0.77596,0.50664,0.8263,0.000120521,0.000120521,0.000120521
35,682.668,0.78647,0.62528,0.82788,0.90276,0.9046,0.95882,0.72366,0.76929,0.49376,0.82553,0.000118749,0.000118749,0.000118749
36,702.261,0.78089,0.61944,0.82473,0.93945,0.89639,0.96025,0.71358,0.77365,0.50231,0.82639,0.000116976,0.000116976,0.000116976
37,721.525,0.78324,0.60407,0.82978,0.93808,0.90564,0.96376,0.72103,0.77539,0.49311,0.82771,0.000115204,0.000115204,0.000115204
38,740.938,0.76343,0.58861,0.82524,0.93714,0.91379,0.97128,0.73575,0.76512,0.48144,0.82412,0.000113432,0.000113432,0.000113432
39,760.354,0.76392,0.58125,0.82538,0.86483,0.94772,0.96859,0.73044,0.76557,0.47843,0.82565,0.00011166,0.00011166,0.00011166
40,779.688,0.76492,0.57723,0.82412,0.88525,0.95791,0.97039,0.72862,0.76637,0.4802,0.82508,0.000109888,0.000109888,0.000109888
41,798.987,0.76264,0.57072,0.82664,0.88438,0.95643,0.97292,0.73199,0.76491,0.48421,0.82499,0.000108116,0.000108116,0.000108116
42,818.304,0.75745,0.56529,0.82437,0.92394,0.93975,0.97837,0.73791,0.76353,0.4868,0.82459,0.000106344,0.000106344,0.000106344
43,837.85,0.75562,0.55807,0.82533,0.94526,0.92909,0.97679,0.73806,0.7632,0.47631,0.82606,0.000104572,0.000104572,0.000104572
44,857.328,0.76129,0.55405,0.82315,0.94748,0.90042,0.97483,0.73004,0.77242,0.47267,0.82529,0.0001028,0.0001028,0.0001028
45,876.813,0.75711,0.55384,0.82206,0.92312,0.95639,0.98028,0.74118,0.76317,0.47598,0.82312,0.000101028,0.000101028,0.000101028
46,896.459,0.74314,0.53857,0.81896,0.94723,0.93437,0.97363,0.7334,0.7589,0.46714,0.82367,9.92555e-05,9.92555e-05,9.92555e-05
47,916.084,0.74673,0.54217,0.81867,0.95309,0.93381,0.97448,0.73664,0.75974,0.46384,0.82502,9.74834e-05,9.74834e-05,9.74834e-05
48,935.465,0.74389,0.53621,0.8227,0.94258,0.9439,0.97712,0.738,0.75909,0.46252,0.82504,9.57113e-05,9.57113e-05,9.57113e-05
49,955.029,0.74208,0.53139,0.8237,0.95228,0.94276,0.97565,0.73971,0.75716,0.46451,0.82447,9.39392e-05,9.39392e-05,9.39392e-05
50,974.264,0.73642,0.52404,0.82165,0.9343,0.93707,0.97731,0.744,0.75263,0.45527,0.82241,9.21671e-05,9.21671e-05,9.21671e-05
51,993.53,0.72945,0.51406,0.82145,0.92207,0.95347,0.97828,0.73797,0.75762,0.45852,0.82522,9.0395e-05,9.0395e-05,9.0395e-05
52,1012.81,0.73067,0.51168,0.82459,0.95379,0.94718,0.97872,0.74253,0.75125,0.45164,0.82358,8.86229e-05,8.86229e-05,8.86229e-05
53,1032.22,0.72971,0.50679,0.81691,0.94257,0.94384,0.9796,0.74432,0.75327,0.45664,0.82277,8.68508e-05,8.68508e-05,8.68508e-05
54,1051.54,0.7274,0.5031,0.81929,0.95222,0.93415,0.97612,0.73779,0.76291,0.45552,0.82657,8.50787e-05,8.50787e-05,8.50787e-05
55,1070.88,0.71858,0.50157,0.81971,0.94091,0.92682,0.97712,0.74028,0.75316,0.45509,0.823,8.33066e-05,8.33066e-05,8.33066e-05
