epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,874.442,0.75588,0.58222,0.83384,0.90888,0.91032,0.96531,0.73219,0.76852,0.49125,0.83419,0.000106344,0.000106344,0.000106344
43,895.024,0.74998,0.57353,0.83317,0.90753,0.93633,0.96621,0.73104,0.77268,0.48499,0.83338,0.000104572,0.000104572,0.000104572
44,915.826,0.75901,0.57505,0.83205,0.93489,0.92377,0.96932,0.73101,0.77221,0.48058,0.83359,0.0001028,0.0001028,0.0001028
45,936.408,0.75133,0.56305,0.82894,0.94568,0.91025,0.96768,0.73276,0.77275,0.48666,0.83462,0.000101028,0.000101028,0.000101028
46,956.915,0.74041,0.55395,0.82718,0.92037,0.91035,0.96544,0.73061,0.77229,0.47598,0.83449,9.92555e-05,9.92555e-05,9.92555e-05
47,977.658,0.74787,0.55927,0.82756,0.92627,0.93119,0.96805,0.72611,0.78631,0.48034,0.83748,9.74834e-05,9.74834e-05,9.74834e-05
48,998.306,0.73864,0.55079,0.82996,0.92025,0.93691,0.96362,0.73007,0.77145,0.47409,0.8345,9.57113e-05,9.57113e-05,9.57113e-05
49,1018.87,0.73731,0.54141,0.83016,0.9091,0.93672,0.97091,0.73426,0.77438,0.47727,0.83355,9.39392e-05,9.39392e-05,9.39392e-05
50,1039.3,0.74247,0.54017,0.8306,0.93207,0.93007,0.96922,0.73699,0.76183,0.46607,0.83194,9.21671e-05,9.21671e-05,9.21671e-05
51,1059.65,0.72989,0.52892,0.82803,0.93706,0.92753,0.96917,0.7349,0.76737,0.46665,0.83412,9.0395e-05,9.0395e-05,9.0395e-05
52,1080.37,0.73355,0.53064,0.83182,0.93375,0.92916,0.97099,0.73736,0.7612,0.46371,0.83269,8.86229e-05,8.86229e-05,8.86229e-05
53,1100.83,0.73386,0.52871,0.82422,0.92154,0.94664,0.97054,0.73485,0.76555,0.46699,0.83449,8.68508e-05,8.68508e-05,8.68508e-05
54,1121.38,0.72914,0.52006,0.82736,0.92104,0.924,0.96704,0.73223,0.76194,0.46562,0.83282,8.50787e-05,8.50787e-05,8.50787e-05
55,1141.88,0.71773,0.52011,0.82666,0.927,0.91249,0.96545,0.73033,0.76321,0.46314,0.83464,8.33066e-05,8.33066e-05,8.33066e-05
56,1162.36,0.7212,0.51114,0.82258,0.92875,0.93076,0.96727,0.73401,0.76222,0.45997,0.83348,8.15345e-05,8.15345e-05,8.15345e-05
57,1182.99,0.71974,0.51303,0.82473,0.92805,0.93244,0.9674,0.72763,0.76058,0.45893,0.83209,7.97624e-05,7.97624e-05,7.97624e-05
58,1203.35,0.71663,0.50377,0.82373,0.92246,0.92354,0.9665,0.73164,0.75694,0.45908,0.83208,7.79903e-05,7.79903e-05,7.79903e-05
59,1224.05,0.72544,0.50185,0.8241,0.91238,0.93471,0.96883,0.73385,0.75668,0.45183,0.83218,7.62182e-05,7.62182e-05,7.62182e-05
60,1244.86,0.70971,0.49765,0.82552,0.9184,0.93801,0.97183,0.74188,0.74932,0.44895,0.8309,7.44461e-05,7.44461e-05,7.44461e-05
61,1265.58,0.72279,0.50096,0.8252,0.92734,0.93807,0.97223,0.73683,0.75284,0.44944,0.83019,7.2674e-05,7.2674e-05,7.2674e-05
62,1286.35,0.70262,0.49414,0.82638,0.93276,0.91884,0.96968,0.73689,0.74862,0.4492,0.83152,7.09019e-05,7.09019e-05,7.09019e-05
63,1306.87,0.70514,0.48929,0.82151,0.93974,0.92243,0.97262,0.74166,0.75057,0.44392,0.83101,6.91298e-05,6.91298e-05,6.91298e-05
