epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1607,1.35388,5.47249,0.95029,0.79509,0.05505,0.05256,0.0379,1.23748,3.29194,0.87056,5.92938e-05,5.92938e-05,5.92938e-05
2,42.2923,1.31007,3.83863,0.88932,0.5989,0.17493,0.15006,0.10665,1.12216,2.22599,0.86821,0.000117783,0.000117783,0.000117783
3,62.2694,1.18709,2.84957,0.87606,0.71164,0.2336,0.27153,0.18834,1.04082,1.68922,0.86452,0.00017509,0.00017509,0.00017509
4,81.9756,1.0932,2.27123,0.87475,0.60333,0.36465,0.38643,0.27005,1.00415,1.40196,0.85574,0.000173684,0.000173684,0.000173684
5,101.782,1.05317,1.99721,0.86539,0.64969,0.44778,0.50046,0.34839,0.97336,1.21149,0.85855,0.000171912,0.000171912,0.000171912
6,121.314,1.032,1.76769,0.86361,0.7616,0.51846,0.57281,0.40207,0.93122,1.0559,0.85096,0.000170139,0.000170139,0.000170139
7,141.18,1.01765,1.58517,0.86348,0.73451,0.60882,0.66216,0.46632,0.90463,0.93555,0.84633,0.000168367,0.000168367,0.000168367
8,161.008,0.99651,1.46074,0.85687,0.75126,0.63097,0.72157,0.51237,0.89249,0.90401,0.84885,0.000166595,0.000166595,0.000166595
9,180.79,0.97556,1.36721,0.85543,0.76569,0.69792,0.77323,0.55295,0.87454,0.80258,0.8433,0.000164823,0.000164823,0.000164823
10,200.618,0.95332,1.2276,0.85291,0.86035,0.69983,0.81356,0.57566,0.8624,0.74247,0.8409,0.000163051,0.000163051,0.000163051
11,220.221,0.94133,1.14889,0.84892,0.87664,0.73034,0.83761,0.59796,0.87317,0.72351,0.84071,0.000161279,0.000161279,0.000161279
12,240.022,0.94167,1.10628,0.8488,0.88579,0.75418,0.86359,0.61306,0.85945,0.67143,0.8409,0.000159507,0.000159507,0.000159507
13,259.881,0.9148,1.04819,0.84357,0.86928,0.7801,0.87751,0.62664,0.83065,0.65527,0.83783,0.000157735,0.000157735,0.000157735
14,279.625,0.90312,1.00417,0.84389,0.84529,0.81083,0.8722,0.63279,0.82944,0.63599,0.83429,0.000155963,0.000155963,0.000155963
