epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3033,1.34795,5.90422,0.9637,0.64684,0.05086,0.03416,0.02377,1.32814,3.48704,0.92427,5.92938e-05,5.92938e-05,5.92938e-05
2,42.41,1.28076,4.32841,0.91938,0.55347,0.14202,0.11447,0.08179,1.20559,2.45357,0.8994,0.000117783,0.000117783,0.000117783
3,62.4641,1.21847,3.47288,0.90633,0.51763,0.23385,0.20375,0.14164,1.12221,1.91751,0.886,0.00017509,0.00017509,0.00017509
4,81.5751,1.13913,2.93411,0.89266,0.579,0.27089,0.29202,0.20154,1.07046,1.63663,0.87747,0.000173684,0.000173684,0.000173684
5,100.478,1.08406,2.51293,0.88397,0.60168,0.37316,0.38596,0.2659,1.0145,1.39655,0.86835,0.000171912,0.000171912,0.000171912
6,119.452,1.04486,2.21574,0.86663,0.73237,0.37862,0.45223,0.32088,0.99268,1.20147,0.8646,0.000170139,0.000170139,0.000170139
7,138.551,1.01509,1.96957,0.87115,0.65787,0.44924,0.50934,0.35398,0.98957,1.14838,0.8656,0.000168367,0.000168367,0.000168367
8,157.621,0.99711,1.80389,0.8686,0.72344,0.488,0.57209,0.40089,0.95187,1.02351,0.86283,0.000166595,0.000166595,0.000166595
9,176.742,0.97525,1.66903,0.86412,0.6371,0.57859,0.61634,0.43663,0.92975,0.96494,0.85963,0.000164823,0.000164823,0.000164823
10,196.246,0.96349,1.54121,0.86373,0.68988,0.64065,0.69747,0.48722,0.92366,0.90745,0.8538,0.000163051,0.000163051,0.000163051
11,215.763,0.95888,1.4612,0.86192,0.75147,0.62475,0.72612,0.52001,0.91566,0.84451,0.85114,0.000161279,0.000161279,0.000161279
12,235.409,0.92951,1.32702,0.85792,0.75835,0.67389,0.77493,0.55579,0.88464,0.78817,0.84772,0.000159507,0.000159507,0.000159507
13,254.883,0.91996,1.26485,0.85492,0.76113,0.72533,0.79404,0.56401,0.8885,0.76794,0.84876,0.000157735,0.000157735,0.000157735
14,274.494,0.90623,1.20511,0.84889,0.83662,0.71651,0.83855,0.59216,0.88861,0.72873,0.84738,0.000155963,0.000155963,0.000155963
15,293.923,0.91086,1.15407,0.85367,0.83127,0.76045,0.86648,0.61223,0.88091,0.70834,0.84696,0.000154191,0.000154191,0.000154191
16,313.626,0.89826,1.10936,0.84846,0.83527,0.7686,0.85784,0.61197,0.88044,0.70718,0.84561,0.000152418,0.000152418,0.000152418
17,333.34,0.89887,1.05906,0.85008,0.8754,0.78794,0.88113,0.61985,0.87418,0.6648,0.84356,0.000150646,0.000150646,0.000150646
18,353.078,0.89036,1.02027,0.84618,0.84647,0.78693,0.88235,0.62345,0.87066,0.67206,0.84673,0.000148874,0.000148874,0.000148874
19,372.834,0.88412,0.98901,0.84929,0.87965,0.80771,0.89792,0.6347,0.86649,0.65621,0.84546,0.000147102,0.000147102,0.000147102
20,392.662,0.87186,0.94394,0.84351,0.85949,0.79496,0.87705,0.63344,0.8474,0.6315,0.84049,0.00014533,0.00014533,0.00014533
21,412.067,0.86825,0.93527,0.84263,0.87566,0.78393,0.90098,0.63932,0.85698,0.66188,0.84405,0.000143558,0.000143558,0.000143558
